3.550000,1598,2350460.My_One_Hundred_Adventures
3.500000,2255,3330327-recovering-charles
3.480000,1924,2997253-the-ghost-in-love
3.350000,1649,3432943-ms-hempel-chronicles
3.740000,1628,2866279-the-war-within
3.850000,1243,3119433-mother-warriors
4.150000,386346,3688715-sarah-s-key
3.900000,211683,2629628-the-brief-wondrous-life-of-oscar-wao
4.070000,225978,4268157-perfect-chemistry
4.020000,115113,1379961.People_of_the_Book
3.940000,91400,472343.Duma_Key
4.370000,98492,1412138.Iron_Kissed
2.990000,61434,3320520-the-3-mistakes-of-my-life
4.090000,42654,2485785.The_Secret_Life_of_CeeCee_Wilkes
4.150000,50304,1238684.The_Stonekeeper
3.590000,45982,1248179.The_Appeal
3.740000,44434,1434105.Plum_Lucky
3.830000,28502,1918305.The_Geography_of_Bliss
3.990000,19349,1662160.Your_Inner_Fish
3.870000,28933,1779929.The_Middle_Place
4.070000,28323,1316617.Succubus_on_Top
3.970000,19706,1210754.Sun_and_Moon_Ice_and_Snow
3.970000,25220,2108198.Odd_and_the_Frost_Giants
4.030000,19542,1491906.Gang_Leader_for_a_Day
3.830000,21520,1301153.Princess_Mia
4.300000,26274,1297150.Sword_Song
3.840000,12811,1832749.I_Heart_You_You_Haunt_Me
3.760000,10504,954001.How_They_Met_and_Other_Stories
4.030000,22944,1430213.The_Bone_Garden
3.830000,11392,2761171-company-of-liars
4.140000,17825,2049993.Airman
4.220000,17178,1422253.The_Accidental_Vampire
3.720000,13639,1268348.The_Secret_Between_Us
4.280000,16371,1231511.Dark_River
4.160000,10486,1924322.Three_Little_Words
3.990000,17002,1624920.Kitty_and_the_Silver_Bullet
3.770000,8510,1705697.Wastelands
4.050000,6239,1998880.My_Enemy_s_Cradle
4.050000,13193,1943742.Silent_in_the_Sanctuary
3.950000,11148,1232140.The_Serpent_s_Tale
3.940000,8075,1620913.Chosen
3.270000,10376,1306127.The_Senator_s_Wife
3.810000,5117,1249095.The_Logic_of_Life
3.960000,623935,1022022.Freakonomics
3.990000,9842,1395807.Blue_Heaven
3.610000,5085,2081569.A_Rush_of_Wings
4.040000,7432,1704159.Darkling
3.680000,8474,1234704.Blasphemy
3.690000,5079,2095336.Saving_Juliet
3.550000,4037,2005138.Kiss_Me_Kill_Me
4.060000,8541,689486.Sizzle_and_Burn
4.000000,5252,1283566.This_Republic_of_Suffering
4.410000,6650,1816825.Someday
3.870000,7799,1363577.The_Seduction_of_the_Crimson_Rose
3.830000,3154,768192.Leftovers
4.040000,8335,1295202.The_Unnatural_Inquirer
3.980000,6036,1620912.Infidel
3.890000,2750,1247446.My_Mistress_s_Sparrow_is_Dead
4.070000,133946,2590505-a-new-earth
4.340000,4766,2234035.This_Side_of_Heaven
3.720000,4473,1848666.The_Opposite_of_Love
3.720000,4194,2164402.How_Not_to_Be_Popular
3.950000,6168,1327767.The_Day_of_the_Djinn_Warriors
4.070000,5844,1943248.Snowfall_at_Willow_Lake
4.330000,5417,1280293.Three_in_Death
3.760000,3598,1583449.After_Tupac_and_D_Foster
4.070000,4343,613939.The_Search_for_the_Red_Dragon
4.200000,4550,1715442.Hide_and_Seek
3.760000,3391,909828.Seeing_Me_Naked
3.490000,4390,2364971.The_Commoner
3.940000,2741,247204.Creating_a_World_Without_Poverty
3.760000,3229,2053020.The_Well_and_the_Mine
3.860000,4242,1142757.To_Hell_and_Back
3.490000,3836,1220721.What_I_Was
3.650000,3336,2507213.Reincarnation
3.880000,5920,1333520.The_Pluto_Files
4.240000,3711,286901.We_are_the_Ship
3.820000,3290,1272835.Touchstone
4.120000,3176,1264696.Evermore
3.740000,3519,1128364.Shooting_the_Moon
3.930000,3323,1064154.Sucker_Bet
3.340000,3266,1609454.Her_Last_Death
3.930000,2709,1826821.The_Manning_Sisters
3.460000,3179,1928405.Eleven
3.700000,3004,1426558.Beverly_Hills_Dead
3.420000,68640,1251027.The_Friday_Night_Knitting_Club
3.690000,1758,1797044.The_Year_My_Sister_Got_Lucky
3.190000,2616,1845050.Beginner_s_Greek
3.770000,2431,1614474.Light_of_the_Moon
3.430000,1898,1141902.Mermaids_in_the_Basement
2.910000,1878,1850833.Beautiful_Children
3.300000,2262,2818398-the-clothes-on-their-backs
3.990000,2334,1274345.Mona_Lisa_Craving
3.740000,1934,3351578-a-modest-proposal
3.260000,1953,1607272.Trail_of_Crumbs
3.210000,1931,1452848.Homecoming
3.710000,1040,1038316.I_m_Looking_Through_You
3.450000,1055,1193230.A_Person_of_Interest
4.040000,1510,2759359-traitor
3.540000,1337,1458234.My_Revolutions
4.060000,271580,2124272.John_Adams
3.830000,44226,2191733.You_Suck
3.400000,1056,1480063.Helping_Me_Help_Myself
3.260000,850,1298834.Against_Happiness
3.390000,1354,2144121.Go_with_Me
